team_id,time,jogos,vitorias,empates,derrotas,pontos,aproveitamento_pct,gols_pro,gols_contra,saldo,gols_pro_1t,gols_pro_2t,gols_contra_1t,gols_contra_2t,cartoes_amarelos,cartoes_vermelhos,posse_media,finalizacoes_media,finalizacoes_alvo_media
3395,Goiás,18,8,4,6,28,51.85,20,24,-4,11,9,7,17,38,5,52.24,11.28,3.61
7635,Sport,18,6,9,3,27,50.0,23,17,6,6,17,9,8,49,3,55.12,14.33,4.44
