team_id,time,jogos_considerados,sequencia,pontos,aproveitamento_pct,gols_pro,gols_contra,saldo
3395,Goiás,5,DVVEV,10,66.67,7,6,1
7635,Sport,5,EDDEE,3,20.0,7,9,-2
