team_id,time,media_substituicoes_por_jogo,minuto_medio_1a_sub,minuto_medio_2a_sub,minuto_medio_3a_sub
3395,Goiás,5.0,46.72,55.94,65.44
7635,Sport,4.78,47.94,61.17,70.39
